movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
9326,False,2,24,Directing,Robert Zemeckis,Robert Zemeckis,14.627,/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,52fe44e8c3a36847f80b1125,Directing,Director
9327,False,2,4499,Directing,Tom Shadyac,Tom Shadyac,3.947,/kuliB1DrKSbdn2jxESncPbWxGrD.jpg,52fe44e8c3a36847f80b11c7,Directing,Director
9330,False,0,57780,Directing,M R Shahjahan,M R Shahjahan,0.6,,52fe44e8c3a36847f80b125b,Directing,Director
9331,False,2,13015,Directing,Phillip Noyce,Phillip Noyce,4.571,/t41FK8X4egnSLNDexVUZ5yGq3XB.jpg,52fe44e8c3a36847f80b1307,Directing,Director
9333,False,2,1723,Directing,Walter Hill,Walter Hill,7.384,/eKJx8RBzMBQrtf98B9CxrikdOKN.jpg,52fe44e8c3a36847f80b13a1,Directing,Director
9334,False,2,26713,Directing,Chuck Russell,Chuck Russell,4.38,/vppcXI2uPEfsBK7vHEXJVrSuup1.jpg,52fe44e9c3a36847f80b146f,Directing,Director
9335,False,2,18865,Directing,Louis Leterrier,Louis Leterrier,10.264,/pJl1hNtZOIxrdzQjwGlicWWGSXg.jpg,52fe44e9c3a36847f80b152f,Directing,Director
9337,False,2,52961,Directing,Dennis Gansel,Dennis Gansel,5.243,/tf34YKOXKKzE3ib21FSFiACCWi2.jpg,52fe44e9c3a36847f80b167f,Directing,Director
9339,False,2,57370,Directing,Frank Coraci,Frank Coraci,4.626,/rVzXMNXN9TPjr6fW8Zm1JmoJX5W.jpg,52fe44e9c3a36847f80b170f,Directing,Director
9340,False,2,7187,Directing,Richard Donner,Richard Donner,10.308,/wjRecQiVLUAm6jwyT5craxhg3lD.jpg,52fe44eac3a36847f80b17b1,Directing,Director
9341,False,2,15148,Directing,Jon Amiel,Jon Amiel,2.019,/tZf4VLvFobxizCzDQ6xQdygGT9.jpg,52fe44eac3a36847f80b1869,Directing,Director
9342,False,2,10702,Directing,Martin Campbell,Martin Campbell,3.504,/vPT3FJrBE35yRpbbkLWQthhEDcr.jpg,52fe44eac3a36847f80b1947,Directing,Director
9343,False,2,6818,Directing,Werner Herzog,Werner Herzog,9.628,/vokqteY91Pda0L13pTqTzTCo7vV.jpg,52fe44eac3a36847f80b1a27,Directing,Director
9344,False,2,51917,Directing,Larry Clark,Larry Clark,2.673,/jFzm8E5Wgtnbtodh45GCW3cDv6c.jpg,52fe44ebc3a36847f80b1b01,Directing,Director
9345,False,2,55884,Directing,Peter Lindmark,Peter Lindmark,0.6,,52fe44ebc3a36847f80b1b85,Directing,Director
9347,False,2,18502,Directing,Alfred Vohrer,Alfred Vohrer,1.822,/uxDBkuxcLd0fExfirBy67QEACZ4.jpg,52fe44ebc3a36847f80b1cc1,Directing,Director
9348,False,2,21370,Directing,Roger Donaldson,Roger Donaldson,7.177,/pPFxPo05qMvZSJ3Rs3YwD3tcUvb.jpg,52fe44ebc3a36847f80b1d6f,Directing,Director
9349,False,2,6046,Directing,Roland Emmerich,Roland Emmerich,10.145,/mN8x74uv9yQ7dJl8nh2q26mkY8v.jpg,52fe44ebc3a36847f80b1dc3,Directing,Director
9350,False,2,16938,Directing,Renny Harlin,Renny Harlin,8.266,/IhXiDrZBrsLZpB5K5BmzUGkp4G.jpg,52fe44ebc3a36847f80b1e7f,Directing,Director
9353,False,2,53925,Directing,Jared Hess,Jared Hess,5.915,/AlZGAfdgo6PL0ZOooHf0kxk1wHG.jpg,52fe44ecc3a36847f80b1fd7,Directing,Director
9354,False,2,4945,Directing,Joe Johnston,Joe Johnston,10.27,/fbGZo6CG9Z9zKFh8D5wHunyu7gJ.jpg,52fe44ecc3a36847f80b20b5,Directing,Director
9355,False,2,20629,Directing,George Miller,George Miller,8.048,/eUzusS4Q8lOdlyjxQ777pf9oLuu.jpg,52fe44ecc3a36847f80b2163,Directing,Director
9355,False,2,57433,Directing,George Ogilvie,George Ogilvie,0.98,,52fe44ecc3a36847f80b2169,Directing,Director
9356,False,1,57434,Directing,Amy Heckerling,Amy Heckerling,4.892,/hIc3bQxLOPAcpGJ1CVFuzpzJRZ0.jpg,52fe44edc3a36847f80b220b,Directing,Director
9357,False,2,57446,Directing,Mark Romanek,Mark Romanek,0.84,/zSuVSesA98di6X1aqfYtUyUv06l.jpg,52fe44edc3a36847f80b2273,Directing,Director
9358,False,2,4755,Directing,David R. Ellis,David R. Ellis,3.256,/zw1ccRyxUBy0y7JDdXTZAYg96xd.jpg,52fe44edc3a36847f80b22db,Directing,Director
9359,False,2,7187,Directing,Richard Donner,Richard Donner,10.308,/wjRecQiVLUAm6jwyT5craxhg3lD.jpg,52fe44edc3a36847f80b23f3,Directing,Director
9360,False,2,26648,Directing,Luis Llosa,Luis Llosa,3.102,/mL2FmYTZvnvP4kJ9heOQLk5BT9m.jpg,52fe44edc3a36847f80b253f,Directing,Director
9361,False,2,638,Directing,Michael Mann,Michael Mann,10.76,/1nRqwMyQuCkvNPAzDY5oOSfGZ6b.jpg,52fe44eec3a36847f80b25d3,Directing,Director
9362,False,2,33485,Directing,Ron Underwood,Ron Underwood,2.599,/3MxNvsTCxQIuAmEnmr5lRgxS20G.jpg,52fe44eec3a36847f80b2695,Directing,Director
9364,False,1,71082,Directing,Andrea Arnold,Andrea Arnold,3.405,/cSKlVxDNVuc01Otyo5rXso4WyNB.jpg,52fe44eec3a36847f80b2717,Directing,Director
9366,False,2,10723,Directing,Mike Newell,Mike Newell,6.024,/zeLnvLZtyJaBP1wWceRM7HWkm0E.jpg,52fe44eec3a36847f80b2773,Directing,Director
9367,False,2,2294,Directing,Robert Rodriguez,Robert Rodriguez,11.56,/bPqRdLWWwpOT8sBdj9PWOzNgwou.jpg,52fe44eec3a36847f80b280b,Directing,Director
9368,False,2,40972,Directing,Antonio Isasi-Isasmendi,Antonio Isasi-Isasmendi,0.972,/6kx4WkjgAvdKQN0NDkkYDWBGqEK.jpg,52fe44eec3a36847f80b2869,Directing,Director
9369,False,2,22164,Directing,Gerhard Hahn,Gerhard Hahn,1.38,,52fe44eec3a36847f80b28e5,Directing,Director
9370,False,2,39168,Directing,Pierre Gaspard-Huit,Pierre Gaspard-Huit,1.025,/eQ8J923bNM2hM80S0CkZpWifbvm.jpg,52fe44eec3a36847f80b2977,Directing,Director
9371,False,2,39243,Directing,Michel Deville,Michel Deville,1.278,/vIPUnXzprNoLBqKVwh78d4PKvUl.jpg,52fe44efc3a36847f80b29e7,Directing,Director
9373,False,2,29922,Directing,Marcus Nispel,Marcus Nispel,2.866,/gKvwpCr23UxQIuS4yJZhTvHLN0C.jpg,52fe44efc3a36847f80b2b11,Directing,Director
9374,False,2,24,Directing,Robert Zemeckis,Robert Zemeckis,14.627,/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg,52fe44efc3a36847f80b2b9f,Directing,Director
9375,False,2,6094,Directing,Hans-Christian Schmid,Hans-Christian Schmid,0.6,,52fe44efc3a36847f80b2c15,Directing,Director
9378,False,2,57521,Directing,Steve Beck,Steve Beck,1.094,/tP9EWRaqoUtzHZHKP9I8I7KPDPa.jpg,52fe44efc3a36847f80b2d0f,Directing,Director
9379,False,2,57530,Directing,Marijan David Vajda,Marijan David Vajda,0.6,,52fe44efc3a36847f80b2d9f,Directing,Director
9382,False,2,18378,Directing,Herbert Ross,Herbert Ross,2.585,/zeeqJjMyWhYHDUyjqkwHAJtOMgn.jpg,52fe44f0c3a36847f80b2ef3,Directing,Director
