"MOVIE_ID","GENRE_ID"
301728,27
301728,878
301728,53
414001,18
414001,12
624779,28
624779,27
492002,53
492002,18
348811,10752
348811,28
293452,27
293452,53
209504,28
209504,878
133200,18
133200,36
747059,16
747059,10751
747059,35
474498,16
474498,10751
601807,53
86541,35
41602,28
41602,35
41602,18
41602,10749
41602,53
254024,18
254024,53
334527,53
334527,80
334527,18
140222,18
140222,10749
40619,16
40619,10751
82532,18
82532,35
843621,878
843621,9648
374473,18
311539,27
311539,14
129850,28
129850,9648
500168,35
500168,10749
500168,36
391975,27
391975,878
391975,53
795522,16
795522,14
795522,28
795522,27
512239,80
512239,53
84165,35
84165,18
84165,10749
426256,10402
426256,18
237584,53
81167,99
718949,28
718949,53
265169,18
195269,28
195269,12
79120,18
79120,10749
37414,80
37414,18
37414,53
267863,35
267863,10749
487437,35
487437,18
432616,18
432616,10749
42296,99
575293,18
575293,35
638045,53
638045,27
463322,27
463322,18
463322,14
410876,27
410876,53
62564,18
62564,35
385737,53
385737,18
385737,27
385737,9648
72432,18
72432,9648
245846,18
245846,53
245846,9648
89888,37
39253,10749
39253,35
593026,10751
593026,12
593026,878
273197,53
273197,18
273197,9648
329815,18
329815,53
46429,28
46429,27
46429,37
472838,10749
472838,18
531949,35
498448,28
498448,18
498448,36
498448,10752
715239,27
715239,28
529210,18
529210,80
529210,53
524789,27
524789,18
315880,18
315880,10749
341744,18
341744,35
159932,18
159932,80
159932,53
36956,18
36956,10749
458005,878
458005,10749
458005,53
201086,35
329805,18
329805,10749
768520,35
768520,10749
768520,18
432789,10749
432789,35
317560,35
317560,18
121677,53
553833,16
553833,18
553833,10749
553833,878
553833,14
553833,28
111440,27
111440,9648
111440,53
416186,18
416186,10749
416186,35
121826,18
121826,35
121826,10749
52653,53
305091,99
776541,18
446827,53
446827,878
209274,18
137145,27
137145,53
491473,18
491473,10749
602508,27
602508,9648
83660,99
83660,80
309302,12
309302,18
541560,37
541560,27
541560,53
137548,16
137548,10751
89691,27
89691,53
332718,28
332718,12
332718,16
332718,36
138376,28
138376,53
431071,35
232175,18
466532,878
466532,18
466532,10749
122924,28
122924,53
400020,36
400020,18
451945,18
429460,53
429460,27
840283,18
840283,36
496212,27
496212,53
83754,35
83754,10749
356500,53
252164,18
252164,53
401689,12
401689,14
401689,28
401689,878
582887,18
582887,10749
582887,35
254023,18
254023,35
436387,53
436387,80
436387,27
436387,9648
746781,27
746781,9648
498743,37
489412,18
489412,16
489412,35
432165,36
432165,12
432165,28
686941,16
686941,10751
686941,10770
215881,53
286875,35
286875,10751
286875,18
673121,18
608649,35
117942,27
117942,35
510498,18
71700,18
71700,28
71700,80
71700,878
64854,27
64854,53
823087,28
823087,12
823087,878
339533,28
339533,878
339533,10770
261860,99
644090,10749
644090,35
524087,18
524087,35
235046,53
235046,27
484428,18
484428,36
61667,18
61667,35
451995,99
339405,18
101519,35
101519,53
101519,27
197583,35
197583,18
59944,10749
59944,18
157851,18
515596,18
515596,10749
251387,53
251387,28
251387,9648
241868,28
241868,12
241868,35
268060,53
268060,18
351454,18
80038,35
80038,10749
390433,53
390433,18
372411,35
455108,9648
455108,27
582881,16
582881,18
365961,35
365961,10751
365961,14
365961,28
258514,18
258514,99
506775,35
506775,27
506775,878
192136,18
192136,36
399725,35
399725,18
356987,18
356987,53
356987,12
475094,10752
475094,18
475094,36
209764,28
209764,53
209764,80
185497,28
185497,80
185497,53
378932,28
378932,12
378932,10751
220176,18
